C C
C1=CCCCC1 C1=[CH:1][CH2:1]CCC1
C1=CCCCC1 C1CC[CH:1]=[CH:1]C1
C1=CCCCC1 C1[CH2:1][CH:1]=[CH:1][CH2:1][CH2:1]1
C1=CCCCC=C1 C1=CC[CH2:1]CC=C1
C1=CCCCC=C1 C1=C[CH:1]=CCCC1
C1=CCCCC=CCCCC=C1 C1=CCCCC=CCCC[CH:1]=C1
C1=CCCCC=CCCCC=C1 C1=CCCCC=[CH:1]CCCC=C1
C1=CCCCCC1 C1=CCC[CH2:1]CC1
C1=CCCCCC1 C1=CC[CH2:1]CCC1
C1=CCCCCC1 C1=CC[CH2:1][CH2:1]CC1
C1=CCCCCC1 C1=C[CH2:1]CCCC1
C1=CCCCCC1 C1=[CH:1]CCCCC1
C1=CCCCCC1 C1=[CH:1][CH2:1]CCCC1
C1=CCCCCC1 C1CC[CH:1]=[CH:1]CC1
C1=CCCCCC=C1 C1=C[CH:1]=CCCCC1
C1=CCCCCC=CCC1 C1=CCCCC[CH:1]=CCC1
C1=CCCCCC=CCC1 C1=CCCC[CH2:1]C=CCC1
C1=CCCCCC=CCC1 C1=CCC[CH2:1]CC=CCC1
C1=CCCCCC=CCC1 C1=CCC[CH2:1][CH2:1]C=CCC1
C1=CCCCCC=CCCCC1 C1=CCCCC[CH:1]=CCCCC1
C1=CCCCCCC1 C1=CCC[CH2:1]CCC1
C1=CCCCCCC1 C1=CCC[CH2:1][CH2:1]CC1
C1=CCCCCCC1 C1=CC[CH2:1]CCCC1
C1=CCCCCCC1 C1=C[CH2:1]CCCCC1
C1=CCCCCCC1 C1=C[CH2:1][CH2:1]CCCC1
C1=CCCCCCC1 C1=[CH:1]CCCCCC1
C1=CCCCCCC1 C1CCC[CH:1]=[CH:1]CC1
C1=CCCCCCCCCOCC=C1 C1=CCCCCCCCCOC[CH:1]=C1
C1=CCCCCCCCCOCC=C1 C1=C[CH:1]=CCOCCCCCCCC1
C1=CCCCCCCCCOCC=C1 C1=C[CH:1]=[CH:1]COCCCCCCCC1
C1=CCCCOCCCCCCCC1 C1=CCCCO[CH2:1]CCCCCCC1
C1=CCCN=C1 C1=CC[CH2:1]N=C1
C1=CCCN=C1 C1=C[CH2:1]CN=C1
C1=CCCN=C1 C1=C[CH2:1][CH2:1]N=C1
C1=CCCN=C1 C1=C[CH:1]=NCC1
C1=CCCN=C1 C1=NCCC=[CH:1]1
C1=CCCN=C1 C1=NCC[CH:1]=C1
C1=CCCN=C1 C1=NCC[CH:1]=[CH:1]1
C1=CCCN=C1 C1=NC[CH2:1][CH:1]=C1
C1=CCCN=C1 C1=[CH:1][CH:1]=NCC1
C1=CCCNC=C1 C1=CNCC[CH:1]=C1
C1=CCCNC=C1 C1=C[CH:1]=CCCN1
C1=CCCNC=C1 C1=C[CH:1]=[CH:1]CCN1
C1=CCCNCC1 C1=CCC[NH:1]CC1
C1=CCCNCC1 C1=CC[CH2:1]NCC1
C1=CCCNCC1 C1=C[CH2:1]CNCC1
C1=CCCNCC1 C1=C[CH2:1][CH2:1]NCC1
C1=CCCNCC1 C1=[CH:1]CCNCC1
C1=CCCNCC1 C1C[CH:1]=[CH:1]CCN1
C1=CCCNCC=C1 C1=CCCN[CH2:1]C=C1
C1=CCCNCC=C1 C1=CCNC[CH2:1]C=C1
C1=CCCNCC=C1 C1=C[CH2:1][CH2:1][NH:1][CH2:1]C=C1
C1=CCCOC=C1 C1=CCCO[CH:1]=C1
C1=CCCOC=C1 C1=C[CH:1]=CCCO1
C1=CCCOC=C1 C1=C[CH:1]=COCC1
C1=CCCOC=C1 C1=C[CH:1]=[CH:1]OCC1
C1=CCCOCC1 C1=CC[CH2:1]OCC1
C1=CCCOCC1 C1=[CH:1]CCOCC1
C1=CCCOCC1 C1C[CH:1]=[CH:1]CCO1
C1=CCCSCC1 C1=[CH:1]CCSCC1
C1=CCCSCCC1 C1=[CH:1]CCCSCC1
C1=CCCSCCC1 C1=[CH:1]CCSCCC1
C1=CCCSCCC1 C1CSCC[CH:1]=[CH:1]C1
C1=CCCSCCN=CCSCC1 C1=C[CH2:1]CSCCN=CCSCC1
C1=CCC[NH+]=C1 C1=CCC[NH+:1]=C1
C1=CCC[NH+]=C1 C1=CC[CH2:1][NH+]=C1
C1=CCC[NH+]=C1 C1=C[CH2:1]C[NH+]=C1
C1=CCC[NH+]=C1 C1=C[CH2:1][CH2:1][NH+]=C1
C1=CCC[NH+]=C1 C1=C[CH:1]=[NH+]CC1
C1=CCC[NH+]=C1 C1=[CH:1][CH:1]=[NH+]CC1
C1=CCC[NH+]=C1 C1=[NH+]CCC=[CH:1]1
C1=CCC[NH+]=C1 C1=[NH+]CC[CH:1]=C1
C1=CCC[NH+]=C1 C1=[NH+]CC[CH:1]=[CH:1]1
C1=CCC[NH+]=C1 C1=[NH+]C[CH2:1][CH:1]=C1
C1=CCC[NH2+]CC1 C1=[CH:1]CC[NH2+]CC1
C1=CCC[NH2+]CC1 C1C[CH:1]=[CH:1]CC[NH2+]1
C1=CCC[NH2+]CCCCC1 C1=CCC[NH2+:1]CCCCC1
C1=CCN=C1 C1=C[CH2:1]N=C1
C1=CCN=C1 C1=C[CH:1]=NC1
C1=CCN=C1 C1=NCC=[CH:1]1
C1=CCN=C1 C1=NC[CH:1]=C1
C1=CCN=C1 C1=N[CH2:1][CH:1]=C1
C1=CCN=C1 C1=[CH:1][CH:1]=NC1
C1=CCN=CC1 C1=CC[CH:1]=NC1
C1=CCN=CC1 C1=C[CH2:1]C=NC1
C1=CCN=CC1 C1=C[CH2:1][CH:1]=NC1
C1=CCN=CC1 C1=NCC=[CH:1]C1
C1=CCN=CC1 C1=NC[CH:1]=CC1
C1=CCN=CC1 C1=NC[CH:1]=[CH:1]C1
C1=CCNC1 C1=CC[NH:1]C1
C1=CCNC1 C1=C[CH2:1]NC1
C1=CCNC1 C1=[CH:1]CNC1
C1=CCNC1 C1=[CH:1][CH2:1]NC1
C1=CCNC1 C1NC[CH:1]=[CH:1]1
C1=CCNC=C1 C1=CCN[CH:1]=C1
C1=CCNC=C1 C1=CC[NH:1]C=C1
C1=CCNC=C1 C1=CC[NH:1][CH:1]=C1
C1=CCNC=C1 C1=CNC[CH:1]=C1
C1=CCNC=C1 C1=CN[CH2:1]C=C1
C1=CCNC=C1 C1=CN[CH2:1][CH:1]=C1
C1=CCNC=C1 C1=C[CH2:1][NH:1]C=C1
C1=CCNC=C1 C1=C[CH:1]=CCN1
C1=CCNC=C1 C1=C[CH:1]=CNC1
C1=CCNC=C1 C1=C[CH:1]=[CH:1]CN1
C1=CCNC=C1 C1=C[CH:1]=[CH:1]NC1
C1=CCNC=C1 C1=[CH:1][CH:1]=CNC1
C1=CCNC=CC1 C1=CC[NH:1]C=CC1
C1=CCNCC1 C1=CC[CH2:1]NC1
C1=CCNCC1 C1=CC[NH:1]CC1
C1=CCNCC1 C1=CC[NH:1][CH2:1]C1
C1=CCNCC1 C1=C[CH2:1]CNC1
C1=CCNCC1 C1=C[CH2:1]NCC1
C1=CCNCC1 C1=C[CH2:1][CH2:1]NC1
C1=CCNCC1 C1=C[CH2:1][NH:1]CC1
C1=CCNCC1 C1=C[CH2:1][NH:1][CH2:1]C1
C1=CCNCC1 C1=[CH:1]CCNC1
C1=CCNCC1 C1=[CH:1]CNCC1
C1=CCNCC1 C1=[CH:1][CH2:1]CNC1
C1=CCNCC1 C1=[CH:1][CH2:1]NCC1
C1=CCNCC1 C1C[CH:1]=[CH:1]CN1
C1=CCNCC=C1 C1=CCN[CH2:1]C=C1
C1=CCNCC=CCNC1 C1=CC[NH:1]CC=CCNC1
C1=CCNCCC1 C1=CCN[CH2:1]CC1
C1=CCNCCC1 C1=CC[CH2:1]CNC1
C1=CCNCCC1 C1=CC[NH:1]CCC1
C1=CCNCCC1 C1=C[CH2:1]NCCC1
C1=CCNCCC1 C1=[CH:1]CCCNC1
C1=CCNCCC1 C1=[CH:1]CNCCC1
C1=CCNCCC1 C1CNC[CH:1]=[CH:1]C1
C1=CCNCCCC1 C1=CC[CH2:1]CCNC1
C1=CCNCCCC1 C1=[CH:1]CCCCNC1
C1=CCNCCCC1 C1=[CH:1][CH2:1][CH2:1]CCNC1
C1=CCNCNC1 C1=C[CH2:1]NCNC1
C1=CCNN=C1 C1=CC[NH:1]N=C1
C1=CCNN=C1 C1=C[CH2:1]NN=C1
C1=CCNN=C1 C1=C[CH2:1][NH:1]N=C1
C1=CCNN=C1 C1=C[CH:1]=NNC1
C1=CCNN=C1 C1=NNCC=[CH:1]1
C1=CCNN=C1 C1=NNC[CH:1]=C1
C1=CCNN=C1 C1=NNC[CH:1]=[CH:1]1
C1=CCNN=C1 C1=[CH:1][CH:1]=NNC1
C1=CCNNC1 C1=CC[NH:1]NC1
C1=CCNNC1 C1=C[CH2:1]NNC1
C1=CCNNC1 C1=C[CH2:1][NH:1]NC1
C1=CCNNC1 C1=[CH:1]CNNC1
C1=CCOC1 C1=C[CH2:1]OC1
C1=CCOC1 C1=C[CH2:1][O:1][CH2:1]1
C1=CCOC1 C1=[CH:1]COC1
C1=CCOC1 C1=[CH:1][CH2:1]OC1
C1=CCOC1 C1OC[CH:1]=[CH:1]1
C1=CCOC1 C1O[CH2:1][CH:1]=[CH:1]1
C1=CCOC=C1 C1=CCO[CH:1]=C1
C1=CCOC=C1 C1=COC[CH:1]=C1
C1=CCOC=C1 C1=CO[CH2:1]C=C1
C1=CCOC=C1 C1=CO[CH2:1][CH:1]=C1
C1=CCOC=C1 C1=C[CH:1]=CCO1
C1=CCOC=C1 C1=C[CH:1]=COC1
C1=CCOC=C1 C1=C[CH:1]=[CH:1]CO1
C1=CCOC=C1 C1=C[CH:1]=[CH:1]OC1
C1=CCOCC1 C1=CC[CH2:1]OC1
C1=CCOCC1 C1=C[CH2:1]COC1
C1=CCOCC1 C1=C[CH2:1]OCC1
C1=CCOCC1 C1=C[CH2:1][CH2:1]OC1
C1=CCOCC1 C1=[CH:1]CCOC1
C1=CCOCC1 C1=[CH:1]COCC1
C1=CCOCC1 C1=[CH:1][CH2:1]COC1
C1=CCOCC1 C1=[CH:1][CH2:1]OCC1
C1=CCOCC1 C1C[CH:1]=[CH:1]CO1
C1=CCOCCC1 C1=CC[CH2:1]COC1
C1=CCOCCC1 C1=C[CH2:1]CCOC1
C1=CCOCCC1 C1=[CH:1]CCCOC1
C1=CCOCCC1 C1=[CH:1]COCCC1
C1=CCOCCC1 C1COC[CH:1]=[CH:1]C1
C1=CCSC1 C1=C[CH2:1]SC1
C1=CCSC1 C1=[CH:1]CSC1
C1=CCSC1 C1=[CH:1][CH2:1]SC1
C1=CCSC1 C1SC[CH:1]=[CH:1]1
C1=CCSC=C1 C1=CCS[CH:1]=C1
C1=CCSC=C1 C1=CSC[CH:1]=C1
C1=CCSC=C1 C1=CS[CH2:1]C=C1
C1=CCSC=C1 C1=C[CH:1]=CCS1
C1=CCSC=C1 C1=C[CH:1]=[CH:1]CS1
C1=CCSCC1 C1=CC[CH2:1]SC1
C1=CCSCC1 C1=CC[S:1]CC1
C1=CCSCC1 C1=C[CH2:1]CSC1
C1=CCSCC1 C1=C[CH2:1]SCC1
C1=CCSCC1 C1=C[CH2:1][CH2:1]SC1
C1=CCSCC1 C1=[CH:1]CCSC1
C1=CCSCC1 C1=[CH:1]CSCC1
C1=CCSCC1 C1=[CH:1][CH2:1]CSC1
C1=CCSCC1 C1C[CH:1]=[CH:1]CS1
C1=CCSCC=NCCSCC=C1 C1=CCSCC=NCCSC[CH:1]=C1
C1=CC[NH+]=C1 C1=C[CH2:1][NH+]=C1
C1=CC[NH+]=C1 C1=C[CH:1]=[NH+]C1
C1=CC[NH+]=C1 C1=[CH:1][CH:1]=[NH+]C1
C1=CC[NH+]=C1 C1=[NH+]CC=[CH:1]1
C1=CC[NH+]=C1 C1=[NH+]C[CH:1]=C1
C1=CC[NH+]=C1 C1=[NH+][CH2:1][CH:1]=C1
C1=CC[NH2+]C1 C1=CC[NH2+:1]C1
C1=CC[NH2+]C1 C1=C[CH2:1][NH2+]C1
C1=CC[NH2+]C1 C1=[CH:1]C[NH2+]C1
C1=CC[NH2+]C1 C1[NH2+]C[CH:1]=[CH:1]1
C1=CC[NH2+]C=C1 C1=CC[NH2+:1]C=C1
C1=CC[NH2+]C=C1 C1=C[CH2:1][NH2+:1]C=C1
C1=CC[NH2+]C=C1 C1=C[NH2+][CH2:1]C=C1
C1=CC[NH2+]CC1 C1=CC[CH2:1][NH2+]C1
C1=CC[NH2+]CC1 C1=CC[NH2+:1]CC1
C1=CC[NH2+]CC1 C1=C[CH2:1]C[NH2+]C1
C1=CC[NH2+]CC1 C1=C[CH2:1][NH2+:1]CC1
C1=CC[NH2+]CC1 C1=C[CH2:1][NH2+]CC1
C1=CC[NH2+]CC1 C1=[CH:1]CC[NH2+]C1
C1=CC[NH2+]CC1 C1=[CH:1]C[NH2+]CC1
C1=CC[NH2+]CC1 C1=[CH:1][CH2:1]C[NH2+]C1
C1=CC[NH2+]CC1 C1C[CH:1]=[CH:1]C[NH2+]1
C1=CC[NH2+]CCC1 C1=CC[NH2+:1]CCC1
C1=CC[NH2+]CCC1 C1=C[CH2:1]CC[NH2+]C1
C1=CC[NH2+]CCC1 C1=C[CH2:1][NH2+:1]CCC1
C1=CC[NH2+]CCC1 C1=C[CH2:1][NH2+]CCC1
C1=CC[NH2+]CCC1 C1=[CH:1]CCC[NH2+]C1
C1=CC[NH2+]CCC1 C1=[CH:1]C[NH2+]CCC1
C1=CC[NH2+]CCC1 C1C[NH2+]C[CH:1]=[CH:1]C1
C1=CN=CC1 C1=CN=[CH:1]C1
C1=CN=CC1 C1=C[CH2:1]C=N1
C1=CN=CC1 C1=C[CH2:1][CH:1]=N1
C1=CN=CC1 C1=NC=[CH:1]C1
C1=CN=CC1 C1=N[CH:1]=CC1
C1=CN=CC1 C1=N[CH:1]=[CH:1]C1
C1=CN=CC=N1 C1=CN=[CH:1]C=N1
C1=CN=CC=N1 C1=CN=[CH:1][CH:1]=N1
C1=CN=CC=N1 C1=NC=[CH:1]N=C1
C1=CN=CCC1 C1=CN=C[CH2:1]C1
C1=CN=CCC1 C1=CN=[CH:1]CC1
C1=CN=CCC1 C1=CN=[CH:1][CH2:1]C1
C1=CN=CCC1 C1=C[CH2:1]CC=N1
C1=CN=CCC1 C1=C[CH2:1][CH2:1]C=N1
C1=CN=CCC1 C1=NC=[CH:1]CC1
C1=CN=CCC1 C1=N[CH:1]=CCC1
C1=CN=CCC1 C1=N[CH:1]=[CH:1]CC1
C1=CN=CCNC1 C1=CN=C[CH2:1]NC1
C1=CN=CCSC1 C1=CN=[CH:1]CSC1
C1=CN=CCSC1 C1=C[CH2:1]SCC=N1
C1=CN=CCSC1 C1=NC=[CH:1]CSC1
C1=CN=CCSC1 C1=N[CH:1]=CCSC1
C1=CN=CCSC1 C1=N[CH:1]=[CH:1]CSC1
C1=CN=CN=C1 C1=CN=[CH:1]N=C1
C1=CN=CN=C1 C1=C[CH:1]=NC=N1
C1=CN=CN=C1 C1=NC=N[CH:1]=C1
C1=CN=CN=C1 C1=NC=[CH:1]C=N1
C1=CN=CN=C1 C1=NC=[CH:1][CH:1]=N1
C1=CN=CN=C1 C1=N[CH:1]=[CH:1]C=N1
C1=CN=CNC1 C1=CN=C[NH:1]C1
C1=CN=CNC1 C1=CN=[CH:1]NC1
C1=CN=CNC1 C1=CN=[CH:1][NH:1]C1
C1=CN=CNC1 C1=C[CH2:1]NC=N1
C1=CN=CNC1 C1=C[CH2:1][NH:1]C=N1
C1=CN=CNC1 C1=NC=[CH:1]CN1
C1=CN=CNC1 C1=NC=[CH:1][CH2:1]N1
C1=CN=CNC1 C1=N[CH:1]=CCN1
C1=CN=CNC1 C1=N[CH:1]=[CH:1]CN1
C1=CN=COC1 C1=C[CH2:1]OC=N1
C1=CN=COC1 C1=NC=[CH:1]CO1
C1=CN=COC1 C1=N[CH:1]=CCO1
C1=CN=COC1 C1=N[CH:1]=[CH:1]CO1
C1=CN=CSC1 C1=CN=[CH:1]SC1
C1=CN=CSC1 C1=C[CH2:1]SC=N1
C1=CN=CSC1 C1=N[CH:1]=CCS1
C1=CN=C[N-]C1 C1=C[CH2:1][N-]C=N1
C1=CN=C[N-]C1 C1=NC=[CH:1]C[N-]1
C1=CN=C[NH+]=C1 C1=CN=C[NH+:1]=C1
C1=CN=C[NH+]=C1 C1=CN=[CH:1][NH+]=C1
C1=CN=C[NH+]=C1 C1=C[CH:1]=[NH+]C=N1
C1=CN=C[NH+]=C1 C1=NC=[CH:1]C=[NH+]1
C1=CN=C[NH+]=C1 C1=NC=[CH:1][CH:1]=[NH+]1
C1=CN=C[NH+]=C1 C1=N[CH:1]=[CH:1]C=[NH+]1
C1=CN=C[NH+]=C1 C1=[NH+]C=N[CH:1]=C1
C1=CN=C[NH2+]C1 C1=NC=[CH:1]C[NH2+]1
C1=CN=NC1 C1=C[CH2:1]N=N1
C1=CN=NC1 C1=[CH:1]CN=N1
C1=CN=NC1 C1=[CH:1]N=NC1
C1=CN=NC1 C1=[CH:1][CH2:1]N=N1
C1=CN=NC1 C1N=N[CH:1]=[CH:1]1
C1=CN=NC=C1 C1=CN=N[CH:1]=C1
C1=CN=NC=C1 C1=C[CH:1]=CN=N1
C1=CN=NC=C1 C1=[CH:1][CH:1]=CN=N1
C1=CN=NC=N1 C1=CN=[CH:1]N=N1
C1=CN=NC=N1 C1=N[CH:1]=CN=N1
C1=CN=NCC1 C1=CN=N[CH2:1]C1
C1=CN=NCC1 C1=C[CH2:1]CN=N1
C1=CN=NCC1 C1=C[CH2:1][CH2:1]N=N1
C1=CN=NCC1 C1=[CH:1]CCN=N1
C1=CN=NCC1 C1=[CH:1]N=NCC1
C1=CN=NN=C1 C1=C[CH:1]=NN=N1
C1=CN=NNC1 C1=CN=N[NH:1]C1
C1=CN=NNC1 C1=C[CH2:1]NN=N1
C1=CN=NNC1 C1=[CH:1]CNN=N1
C1=CN=NNC1 C1=[CH:1]N=NNC1
C1=CN=NNC1 C1NN=N[CH:1]=[CH:1]1
C1=CN=[NH+]C1 C1=C[CH2:1][NH+]=N1
C1=CN=[NH+]C1 C1=[CH:1]C[NH+]=N1
C1=CN=[NH+]C1 C1=[CH:1]N=[NH+]C1
C1=CN=[NH+]C1 C1[NH+]=N[CH:1]=[CH:1]1
C1=CN=[NH+]C=C1 C1=CN=[NH+][CH:1]=C1
C1=CN=[NH+]C=C1 C1=C[NH+]=N[CH:1]=C1
C1=CN=[SH]CC1 C1=[CH:1]N=[SH]CC1
C1=CNC=CC1 C1=CNC=[CH:1]C1
C1=CNC=CC1 C1=CN[CH:1]=CC1
C1=CNC=CC1 C1=CN[CH:1]=[CH:1]C1
C1=CNC=CC1 C1=C[CH2:1]C=CN1
C1=CNC=CC1 C1=C[NH:1]C=CC1
C1=CNC=CC1 C1=C[NH:1][CH:1]=CC1
C1=CNC=CNC1 C1=CNC=[CH:1]NC1
C1=CNC=CNC1 C1=CN[CH:1]=CNC1
C1=CNC=CNC1 C1=CN[CH:1]=[CH:1]NC1
C1=CNC=NC1 C1=CN[CH:1]=NC1
C1=CNC=NC1 C1=C[CH2:1]N=CN1
C1=CNC=NC1 C1=C[NH:1]C=NC1
C1=CNC=NC1 C1=C[NH:1][CH:1]=NC1
C1=CNC=NC1 C1=NCC=[CH:1]N1
C1=CNC=NC1 C1=NC[CH:1]=CN1
C1=CNC=NC1 C1=NC[CH:1]=[CH:1]N1
C1=CNC=NC1 C1=N[CH2:1][CH:1]=CN1
C1=CNC=[NH+]C1 C1=CNC=[NH+:1]C1
C1=CNC=[NH+]C1 C1=CN[CH:1]=[NH+]C1
C1=CNC=[NH+]C1 C1=C[CH2:1][NH+:1]=CN1
C1=CNC=[NH+]C1 C1=C[CH2:1][NH+]=CN1
C1=CNC=[NH+]C1 C1=[NH+]CC=[CH:1]N1
C1=CNC=[NH+]C1 C1=[NH+]C[CH:1]=CN1
C1=CNC=[NH+]C1 C1=[NH+]C[CH:1]=[CH:1]N1
C1=CNCC1 C1=CN[CH2:1]C1
C1=CNCC1 C1=C[CH2:1]CN1
C1=CNCC1 C1=C[CH2:1][CH2:1]N1
C1=CNCC1 C1=C[NH:1]CC1
C1=CNCC1 C1=C[NH:1][CH2:1]C1
C1=CNCC1 C1=[CH:1]CCN1
C1=CNCC1 C1=[CH:1]NCC1
C1=CNCC1 C1=[CH:1][NH:1]CC1
C1=CNCC1 C1C[CH:1]=[CH:1]N1
C1=CNCC=N1 C1=CNC[CH:1]=N1
C1=CNCC=N1 C1=CN[CH2:1]C=N1
C1=CNCC=N1 C1=C[NH:1]CC=N1
C1=CNCC=N1 C1=C[NH:1][CH2:1]C=N1
C1=CNCC=N1 C1=NC=[CH:1]NC1
C1=CNCC=N1 C1=N[CH:1]=CNC1
C1=CNCC=N1 C1=N[CH:1]=[CH:1]NC1
C1=CNCCC1 C1=CNC[CH2:1]C1
C1=CNCCC1 C1=CN[CH2:1]CC1
C1=CNCCC1 C1=CN[CH2:1][CH2:1]C1
C1=CNCCC1 C1=C[CH2:1]CCN1
C1=CNCCC1 C1=C[CH2:1][CH2:1]CN1
C1=CNCCC1 C1=C[NH:1]CCC1
C1=CNCCC1 C1=C[NH:1][CH2:1]CC1
C1=CNCCC1 C1=[CH:1]CCCN1
C1=CNCCC1 C1=[CH:1]NCCC1
C1=CNCCC1 C1=[CH:1][CH2:1]CCN1
C1=CNCCC1 C1=[CH:1][NH:1]CCC1
C1=CNCCC1 C1CN[CH:1]=[CH:1]C1
C1=CNCCCC1 C1=C[CH2:1]CCCN1
C1=CNCCCC1 C1=C[NH:1]CCCC1
C1=CNCCCC1 C1=[CH:1]CCCCN1
C1=CNCCCC1 C1=[CH:1]NCCCC1
C1=CNCCCC1 C1CC[CH:1]=[CH:1]NC1
C1=CNCCCN1 C1=[CH:1]NCCCN1
C1=CNCCCN1 C1CN[CH:1]=[CH:1]NC1
C1=CNCCN1 C1=CN[CH2:1]CN1
C1=CNCCN1 C1=C[NH:1]CCN1
C1=CNCCN1 C1=C[NH:1][CH2:1]CN1
C1=CNCCN1 C1=[CH:1]NCCN1
C1=CNCCN1 C1CN[CH:1]=[CH:1]N1
C1=CNCCN=C1 C1=CN[CH2:1]CN=C1
